Phase 1 IPOPT p-sweep summary
PMP shooting J* = 0.0430574185, wall = 5.061s

 deg    N             cost          gap     defect  iter     t(s) feas?
   3    4     0.4665854976    4.235e-01   2.79e-03    11     0.01 N
   3    8     0.1792905393    1.362e-01   1.21e-03    11     0.02 N
   3   16     0.0914864048    4.843e-02   8.17e-04    15     0.05 Y
   3   32     0.0575790050    1.452e-02   5.57e-04    11     0.10 Y
   4    4     0.1864287938    1.434e-01   4.69e-04     9     0.01 Y
   4    8     0.0953698108    5.231e-02   4.41e-04    17     0.04 Y
   4   16     0.0581417263    1.508e-02   2.47e-04    14     0.07 Y
   4   32     0.0449147365    1.857e-03   2.12e-04     9     0.15 Y
   5    4     0.1189056795    7.585e-02   2.81e-04    26     0.04 Y
   5    8     0.0679541670    2.490e-02   3.38e-04    14     0.05 Y
   5   16     0.0470559839    3.999e-03   3.54e-04     9     0.09 Y
   5   32     0.0432377381    1.803e-04   3.37e-04     5     0.14 Y
   6    4     0.1008480771    5.779e-02   3.63e-04    30     0.06 Y
   6    8     0.0554664609    1.241e-02   2.75e-04    15     0.07 Y
   6   16     0.0439536788    8.963e-04   4.86e-04     5     0.08 Y
   6   32     0.0430694730    1.205e-05   3.42e-04     3     0.13 Y
   7    4     0.0901333876    4.708e-02   6.39e-04    17     0.05 Y
   7    8     0.0500095480    6.952e-03   3.34e-04    12     0.10 Y
   7   16     0.0432364290    1.790e-04   5.40e-04     5     0.12 Y
   7   32     0.0430575101    9.158e-08   3.43e-04     2     0.14 Y
